#title = mean sea level anomaly Atlantic Ocean (Annual signals retained) ,,,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) ,,,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' ,,
#trend = 3.17 mm/year (no glacial isostatic adjustment correction) ,,,,
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-15.46,,,
1992.987,-10.36,,,
1993.0128,-12.36,,,
1993.0413,-9.96,,,
1993.0663,-19.16,,,
1993.0976,-23.06,,,
1993.1213,-25.66,,,
1993.1498,-24.66,,,
1993.1768,-23.76,,,
1993.204,-21.66,,,
1993.2311,-34.26,,,
1993.2855,-27.36,,,
1993.3126,-28.66,,,
1993.3397,-29.36,,,
1993.3669,-20.26,,,
1993.394,-28.26,,,
1993.4212,-41.06,,,
1993.4484,-31.66,,,
1993.4755,-38.66,,,
1993.5024,-30.66,,,
1993.5297,-29.26,,,
1993.584,-23.56,,,
1993.6118,-25.56,,,
1993.6385,-13.26,,,
1993.6655,-12.46,,,
1993.6927,-6.76,,,
1993.7193,-0.46,,,
1993.747,-2.56,,,
1993.7742,3.24,,,
1993.8012,-0.76,,,
1993.8556,9.94,,,
1993.8828,2.24,,,
1993.9101,0.24,,,
1993.937,-0.46,,,
1993.9643,-3.86,,,
1993.9911,-1.36,,,
1994.0185,-13.86,,,
1994.0454,-21.06,,,
1994.0726,-31.26,,,
1994.0999,-24.56,,,
1994.127,-24.16,,,
1994.1542,-9.16,,,
1994.1812,-18.66,,,
1994.2356,-29.06,,,
1994.2628,-26.56,,,
1994.29,-26.06,,,
1994.3173,-22.76,,,
1994.3442,-21.16,,,
1994.3713,-19.96,,,
1994.3985,-15.36,,,
1994.4256,-26.36,,,
1994.4527,-25.96,,,
1994.507,-12.26,,,
1994.5342,-43.36,,,
1994.5615,-45.66,,,
1994.5886,-21.16,,,
1994.6158,-19.06,,,
1994.6429,-14.36,,,
1994.6701,-8.46,,,
1994.6972,-2.36,,,
1994.7243,-6.66,,,
1994.7513,7.74,,,
1994.7784,1.04,,,
1994.8058,7.44,,,
1994.8328,4.84,,,
1994.8872,7.54,,,
1994.9144,1.94,,,
1994.9416,0.14,,,
1994.9688,-6.06,,,
1994.9959,-10.26,,,
1995.023,-9.86,,,
1995.0501,-23.56,,,
1995.0772,-25.16,,,
1995.1044,-21.46,,,
1995.1315,-11.76,,,
1995.1585,-1.76,,,
1995.2129,-22.46,,,
1995.2402,-26.96,,,
1995.2673,-15.36,,,
1995.2945,-9.76,,,
1995.3214,-23.56,,,
1995.3759,-10.36,,,
1995.4031,-12.76,,,
1995.4301,-18.16,,,
1995.4573,-18.26,,,
1995.4843,-25.66,,,
1995.5388,-19.86,,,
1995.5659,-24.36,,,
1995.593,-16.86,,,
1995.6202,4.14,,,
1995.6474,-4.16,,,
1995.6742,-5.16,,,
1995.7017,-4.26,,,
1995.7288,7.74,,,
1995.756,17.44,,,
1995.783,10.64,,,
1995.8374,3.34,,,
1995.8646,8.54,,,
1995.8902,9.24,,,
1995.946,15.64,,,
1995.9732,7.94,,,
1996.0001,-10.36,,,
1996.0274,-10.76,,,
1996.0538,-15.86,,,
1996.0817,-6.56,,,
1996.1088,-10.96,,,
1996.1635,-8.66,,,
1996.1902,-10.26,,,
1996.2175,-17.56,,,
1996.2445,-19.66,,,
1996.2718,-13.86,,,
1996.299,-23.56,,,
1996.3261,-19.06,,,
1996.3532,-16.56,,,
1996.3803,-4.16,,,
1996.4075,-2.26,,,
1996.4345,-28.46,,,
1996.4889,-31.66,,,
1996.5161,-18.96,,,
1996.5432,-5.06,,,
1996.5705,3.84,,,
1996.5976,-18.86,,,
1996.6249,-15.86,,,
1996.6518,-7.66,,,
1996.679,-9.26,,,
1996.7055,-3.26,,,
1996.7339,3.34,,,
1996.7603,15.84,,,
1996.8148,24.04,,,
1996.8419,16.84,,,
1996.8691,18.54,,,
1996.8962,3.94,,,
1996.9234,-3.06,,,
1996.9506,-2.76,,,
